Date,PG,KO,JNJ,WMT,MSFT,AAPL,MCD,HD,DOCU,META,NVDA,NFLX,AMD,TSLA,V,UNH,GOOGL,BRKb,JPM,PEP
18/2/2025,165.43,69.05,154.99,103.78,409.64,244.47,304.83,403.31,87.34,716.37,139.40,1035.85,114.28,354.11,356.73,500.73,183.77,482.82,279.95,145.81
14/2/2025,162.89,68.87,156.15,104.04,408.43,244.60,308.55,409.50,87.34,736.67,138.85,1058.60,113.10,355.84,353.81,523.51,185.23,479.59,276.59,144.10
13/2/2025,171.02,69.50,157.25,105.05,410.54,241.53,310.02,412.43,88.63,728.56,135.29,1043.69,111.81,355.94,355.63,531.18,186.14,480.49,276.32,143.39
12/2/2025,169.58,68.71,155.26,103.61,409.04,236.87,307.60,407.14,88.29,725.38,131.14,1027.31,111.72,336.51,351.49,527.40,183.61,471.73,275.45,144.58
11/2/2025,169.43,67.60,156.13,102.47,411.44,232.62,310.21,416.36,87.92,719.80,132.80,1008.08,111.10,328.50,350.72,533.92,185.32,472.61,274.99,143.99
10/2/2025,167.53,64.55,154.24,102.92,412.22,227.65,308.42,413.99,90.86,717.40,133.57,1027.60,110.48,350.73,351.23,533.37,186.47,470.17,271.04,145.64
7/2/2025,167.97,63.84,153.12,101.15,409.75,227.63,294.30,407.37,90.48,714.52,129.84,1013.93,107.56,361.62,348.02,527.03,185.34,472.74,275.80,144.35
6/2/2025,168.88,63.36,153.51,102.85,415.82,233.22,294.36,414.16,93.85,711.99,128.68,1015.68,110.16,374.32,347.48,530.04,191.60,477.22,276.90,144.58
5/2/2025,169.01,63.12,154.69,102.46,413.29,232.47,288.83,413.82,96.89,704.87,124.83,1011.11,112.01,378.17,349.44,539.81,191.33,473.73,270.43,145.35
4/2/2025,168.13,62.67,153.49,100.77,412.37,232.80,289.77,411.49,96.47,704.19,118.65,994.87,119.50,392.21,345.15,545.45,206.38,467.49,267.94,145.66
